,GNOMES observation,,,,,,,,,,,,,,,,,,,,,
#,Name,sname,nvss,src_cld,Cloud,V0plt,V0b,V1b,V1plt,glong,glat,ra50 (h),dec50 (o),RAJ2000,DEJ2000,S1.4 mJy,tsky_chipass,tsky_haslam,OK?,Notes,,
60,SRC31,4C +19.26,070937+195443,SRC31_R,R,-100,-80,70,80,196.91065,12.80407,7.1112,19.99364,07:09:37.27,19:54:43.00,686.4,4.02592993164063,3.71654390318564,1,Emission feature in Absorption spectrum? I think it is fine.,,
61,SRC31,-,035613+130535,SRC31_T,T,-100,-80,60,80,177.02374,-29.78233,3.89081,12.94857,03:56:13.81,13:05:35.80,889.4,4.13904443359375,3.5735911833854,1,,,
62,SRC32,-,061900+050630,SRC32_R,R,-100,-80,70,80,204.66292,-4.84322,6.27237,5.13001,06:19:00.21,05:06:30.80,686.1,4.18517333984375,3.8351641081384,1,,,
63,SRC32,4C +17.25,042524+175525,SRC32_T,T,-100,-80,60,80,178.10768,-21.31239,4.37528,17.81052,04:25:24.43,17:55:25.30,880.3,4.1595126953125,3.74087624399448,1,,,
64,SRC33,4C +08.23,065601+083407,SRC33_R,R,-100,-80,75,80,205.80616,4.90632,6.8882,8.63447,06:56:01.03,08:34:07.10,679.4,4.1153642578125,3.71350228806844,1,Emission feature in Absorption spectrum? I think it is fine.,,
65,SRC33,4C +14.14,051930+142829,SRC33_T,T,-100,-80,60,80,189.04232,-12.85356,5.27787,14.42416,05:19:30.95,14:28:29.00,856.3,4.14582470703125,3.85645494985579,1,,,
66,SRC34,4C +03.12,071523+031105,SRC34_R,R,-100,-80,79,81,212.81998,6.77999,7.21289,3.27336,07:15:23.75,03:11:05.00,669.2,3.97192431640625,3.5218849446634,1,,,
67,SRC34,4C +35.07,041236+353543,SRC34_T,T,-100,-90,60,80,162.5791,-11.35834,4.15559,35.46772,04:12:36.28,35:35:43.20,855.1,3.9293515625,3.84428872143849,1,,,
68,SRC35,-,071924+021035,SRC35_R,R,-100,-80,80,82,214.18429,7.21634,7.2802,2.26975,07:19:24.88,02:10:35.80,659.5,3.87296484375,3.41543085210218,1,,,
69,SRC35,PKS 0446+11,044907+112128,SRC35_T,T,-100,-80,60,80,187.42752,-20.73674,4.77256,11.27137,04:49:07.65,11:21:28.20,846.6,4.1576435546875,3.69221150436392,1,Very Nice but Absorption spectrum < 0 (a bit saturated). Emission spectrum is ok. ===> Tried but failed. Cannot do this source.,,
70,SRC36,-,070001+170922,SRC36_R,R,-100,-80,70,80,198.47308,9.57657,6.95217,17.22669,07:00:01.52,17:09:22.30,647.4,4.08840234375,3.75000085729457,1,Emission feature in Absorption spectrum. I think I should exclude it. (???) (Will come back to this).,,
71,SRC36,4C +17.33,053557+175600,SRC36_T,T,-100,-80,60,80,188.21796,-7.66935,5.55062,17.90249,05:35:57.42,17:56:00.70,833.6,4.225837890625,3.93553508649096,1,,,
72,SRC37,4C +01.17,060536+014512,SRC37_R,R,-100,-80,70,80,206.07694,-9.36606,6.05023,1.7589,06:05:36.56,01:45:12.70,608.4,4.0677568359375,3.6678791055422,1,,,
73,SRC37,-,053359+214126,SRC37_T,T,-100,-80,60,80,184.76545,-6.06302,5.51656,21.65721,05:33:59.73,21:41:26.20,830.1,0,0,-1,Same as SRC6_T: Huge emission features in Absorption spectrum. The source may be too weak.,,
74,SRC38,PKS 0722+12,072525+123624,SRC38_R,R,-100,-80,75,80,205.3487,13.17132,7.3772,12.7067,07:25:25.60,12:36:24.60,605.7,3.76737646484375,3.45801247752409,1,,,
75,SRC38,4C +07.16,052424+074957,SRC38_T,T,-100,-80,60,80,195.50899,-15.3493,5.36148,7.78777,05:24:24.04,07:49:57.10,824.3,4.2538603515625,3.72262690136853,1,,,
76,SRC39,4C +06.28,071004+061705,SRC39_R,R,-100,-80,80,82,209.43146,6.99602,7.12334,6.36725,07:10:04.83,06:17:05.40,582.6,4.0512099609375,3.58271585469838,1,Emission feature in Absorption spectrum. But I think it is fine.,,
77,SRC39,4C +24.06,032504+244445,SRC39_T,T,-100,-80,60,80,161.92015,-26.26215,3.36856,24.57049,03:25:04.35,24:44:45.60,805.3,4.13086474609375,3.60704819550722,1,Same as SRC17_T: 1 emission feature in a component at vlsr=25km/s. But a peak in Emission spectrum also at Vlsr=25km/s.,,
78,SRC40,4C +21.22,065937+211742,SRC40_R,R,-105,-98,70,80,194.62667,11.25853,6.94411,21.36502,06:59:37.81,21:17:42.20,570.3,3.98335278320312,3.68308683305095,1,,,
79,SRC40,-,-,SRC40_T,T,-999,-999,-999,-999,0,0,0,0,0,0,0,0,0,-1,No observation,,
80,3C092,3C092,034008+320901,3C092_T,T,-110,-75,50,80,159.73778,-18.407335,3.616838,31.989103,03:40:08.54,32:09:01.30,1611.6,3.95151147460937,3.68916994725959,1,a2600,,
81,3C131,3C131,045323+312924,3C131_T,T,-110,-80,50,80,171.43704,-7.797319,4.836253,31.408298,04:53:23.34,31:29:24.20,2868,4.04164868164063,3.95682592820836,1,a2600,,
82,4C+14.18,4C+14.18,062545+144019,4C+14.18_R,R,-110,-90,75,83,196.98291,1.1033832,6.381893,14.701679,06:25:45.97,14:40:19.70,2443.5,5.01218408203125,4.10586170420436,1,a2600,,
83,4C+17.23,4C+17.23,041140+171405,4C+17.23_T,T,-110,-75,60,82,176.36075,-24.242393,4.146867,17.106352,04:11:40.77,17:14:05.10,1034.1,4.26327001953125,3.69829456055969,-1,A2600 – SRC23T,,
84,4C+27.14,4C+27.14,045956+270602,4C+27.14_T,T,-110,-80,50,80,175.82738,-9.363953,4.947059,27.026915,04:59:56.09,27:06:02.90,926.5,3.90206982421875,3.80170715402946,1,a2600,,
85,B0531+2730,B0531+2730,053425+273223,B0531+2730_T,T,-110,-80,50,80,179.87428,-2.8297741,5.521503,27.50721,05:34:25.73,27:32:23.90,1042,4.25493505859375,4.21231579676558,-1,SRC22_T,,
86,PKS0528+134,PKS0528+134,053056+133155,PKS0528+134_T,T,-110,-80,50,80,191.36761,-11.011642,5.46856,13.495271,05:30:56.44,13:31:55.30,1556.2,4.63611572265625,3.67700377685517,1,a2600,,
